
============================================================
Request 1/5
Prompt: Explain the concept of recursion in programming in 3 sentences.
============================================================
Token 1: 'Rec' | Latency: 246.67ms
Token 2: 'ursion' | Latency: 23.11ms
Token 3: ' is' | Latency: 18.83ms
Token 4: ' a' | Latency: 19.71ms
Token 5: ' programming' | Latency: 18.99ms
Token 6: ' technique' | Latency: 17.21ms
Token 7: ' where' | Latency: 13.46ms
Token 8: ' a' | Latency: 14.14ms
Token 9: ' function' | Latency: 13.48ms
Token 10: ' calls' | Latency: 13.61ms
Token 11: ' itself' | Latency: 13.61ms
Token 12: ' to' | Latency: 14.29ms
Token 13: ' solve' | Latency: 13.13ms
Token 14: ' smaller' | Latency: 13.60ms
Token 15: ' instances' | Latency: 13.63ms
Token 16: ' of' | Latency: 13.65ms
Token 17: ' its' | Latency: 13.68ms
Token 18: ' own' | Latency: 13.67ms
Token 19: ' problem' | Latency: 13.67ms
Token 20: ' until' | Latency: 13.70ms
Token 21: ' reaching' | Latency: 13.05ms
Token 22: ' a' | Latency: 12.67ms
Token 23: ' base' | Latency: 12.58ms
Token 24: ' case' | Latency: 12.62ms
Token 25: ' that' | Latency: 13.69ms
Token 26: ' can' | Latency: 12.84ms
Token 27: ' be' | Latency: 12.54ms
Token 28: ' solved' | Latency: 12.53ms
Token 29: ' without' | Latency: 12.61ms
Token 30: ' further' | Latency: 12.62ms
Token 31: ' recursion' | Latency: 12.64ms
Token 32: ';' | Latency: 12.60ms
Token 33: ' this' | Latency: 13.21ms
Token 34: ' approach' | Latency: 12.57ms
Token 35: ' simpl' | Latency: 12.60ms
Token 36: 'ifies' | Latency: 12.77ms
Token 37: ' solving' | Latency: 12.47ms
Token 38: ' complex' | Latency: 12.69ms
Token 39: ' problems' | Latency: 12.54ms
Token 40: ' by' | Latency: 12.70ms
Token 41: ' breaking' | Latency: 12.56ms
Token 42: ' them' | Latency: 12.71ms
Token 43: ' down' | Latency: 12.63ms
Token 44: ' into' | Latency: 12.71ms
Token 45: ' manageable' | Latency: 12.67ms
Token 46: ',' | Latency: 12.67ms
Token 47: ' similar' | Latency: 12.65ms
Token 48: ' sub' | Latency: 12.65ms
Token 49: '-pro' | Latency: 12.62ms
Token 50: 'blems' | Latency: 12.63ms
Token 51: ';' | Latency: 12.66ms
Token 52: ' each' | Latency: 12.73ms
Token 53: ' recursive' | Latency: 12.60ms
Token 54: ' call' | Latency: 12.66ms
Token 55: ' processes' | Latency: 12.49ms
Token 56: ' part' | Latency: 12.46ms
Token 57: ' of' | Latency: 12.48ms
Token 58: ' the' | Latency: 12.49ms
Token 59: ' solution' | Latency: 12.61ms
Token 60: ',' | Latency: 13.37ms
Token 61: ' combining' | Latency: 12.46ms
Token 62: ' results' | Latency: 13.03ms
Token 63: ' from' | Latency: 12.42ms
Token 64: ' simpler' | Latency: 12.50ms
Token 65: ' cases' | Latency: 12.47ms
Token 66: ' to' | Latency: 12.55ms
Token 67: ' build' | Latency: 12.94ms
Token 68: ' up' | Latency: 12.41ms
Token 69: ' the' | Latency: 12.47ms
Token 70: ' answer' | Latency: 12.48ms
Token 71: ' for' | Latency: 12.56ms
Token 72: ' the' | Latency: 12.49ms
Token 73: ' original' | Latency: 12.60ms
Token 74: ' problem' | Latency: 12.46ms
Token 75: '.' | Latency: 12.53ms

--- Summary ---
Total tokens: 75
TTFT: 246.67ms
TPOT: 16.66ms
ITL Mean: 13.31ms
Throughput: 60.03 tok/s

============================================================
Request 2/5
Prompt: What are the main differences between Python and C++?
============================================================
Token 1: 'Python' | Latency: 269.48ms
Token 2: ' and' | Latency: 12.72ms
Token 3: ' C' | Latency: 12.23ms
Token 4: '++' | Latency: 12.27ms
Token 5: ' are' | Latency: 12.32ms
Token 6: ' both' | Latency: 12.51ms
Token 7: ' popular' | Latency: 12.51ms
Token 8: ' programming' | Latency: 12.51ms
Token 9: ' languages' | Latency: 12.64ms
Token 10: ' but' | Latency: 12.71ms
Token 11: ' they' | Latency: 12.64ms
Token 12: ' differ' | Latency: 12.65ms
Token 13: ' significantly' | Latency: 12.69ms
Token 14: ' in' | Latency: 12.66ms
Token 15: ' several' | Latency: 12.58ms
Token 16: ' aspects' | Latency: 12.61ms
Token 17: ' such' | Latency: 12.58ms
Token 18: ' as' | Latency: 12.63ms
Token 19: ' syntax' | Latency: 12.65ms
Token 20: ',' | Latency: 12.65ms
Token 21: ' performance' | Latency: 12.62ms
Token 22: ',' | Latency: 12.66ms
Token 23: ' application' | Latency: 12.64ms
Token 24: ' domains' | Latency: 13.14ms
Token 25: ',' | Latency: 12.34ms
Token 26: ' and' | Latency: 12.72ms
Token 27: ' design' | Latency: 12.55ms
Token 28: ' philosophy' | Latency: 12.82ms
Token 29: '.

' | Latency: 12.79ms
Token 30: '1' | Latency: 12.67ms
Token 31: '.' | Latency: 12.63ms
Token 32: ' **' | Latency: 12.62ms
Token 33: 'Syntax' | Latency: 12.60ms
Token 34: ' and' | Latency: 12.60ms
Token 35: ' Read' | Latency: 13.28ms
Token 36: 'ability' | Latency: 13.11ms
Token 37: '**' | Latency: 12.63ms
Token 38: ':
' | Latency: 12.88ms
Token 39: '  ' | Latency: 12.42ms
Token 40: ' -' | Latency: 12.51ms
Token 41: ' **' | Latency: 12.43ms
Token 42: 'Python' | Latency: 12.61ms
Token 43: '**:' | Latency: 12.56ms
Token 44: ' Known' | Latency: 12.62ms
Token 45: ' for' | Latency: 12.54ms
Token 46: ' its' | Latency: 12.61ms
Token 47: ' readability' | Latency: 12.60ms
Token 48: ' and' | Latency: 12.59ms
Token 49: ' simplicity' | Latency: 12.58ms
Token 50: ',' | Latency: 12.62ms
Token 51: ' Python' | Latency: 12.95ms
Token 52: ' uses' | Latency: 12.40ms
Token 53: ' indentation' | Latency: 12.58ms
Token 54: ' to' | Latency: 12.57ms
Token 55: ' del' | Latency: 12.59ms
Token 56: 'imit' | Latency: 12.71ms
Token 57: ' blocks' | Latency: 12.66ms
Token 58: ' of' | Latency: 13.46ms
Token 59: ' code' | Latency: 13.14ms
Token 60: ' instead' | Latency: 12.83ms
Token 61: ' of' | Latency: 12.54ms
Token 62: ' curly' | Latency: 12.60ms
Token 63: ' braces' | Latency: 12.69ms
Token 64: ' or' | Latency: 13.93ms
Token 65: ' keywords' | Latency: 13.34ms
Token 66: '.' | Latency: 12.62ms
Token 67: ' Its' | Latency: 12.64ms
