
============================================================
Request 1/5
Prompt: Explain the concept of recursion in programming in 3 sentences.
============================================================
Token 1: 'Rec' | Latency: 16277.06ms
Token 2: 'ursion' | Latency: 38.34ms
Token 3: ' is' | Latency: 36.92ms
Token 4: ' a' | Latency: 36.81ms
Token 5: ' programming' | Latency: 37.08ms
Token 6: ' technique' | Latency: 36.65ms
Token 7: ' where' | Latency: 38.46ms
Token 8: ' a' | Latency: 36.76ms
Token 9: ' function' | Latency: 38.29ms
Token 10: ' solves' | Latency: 37.06ms
Token 11: ' a' | Latency: 36.70ms
Token 12: ' problem' | Latency: 36.92ms
Token 13: ' by' | Latency: 36.81ms
Token 14: ' breaking' | Latency: 36.91ms
Token 15: ' it' | Latency: 36.77ms
Token 16: ' down' | Latency: 36.81ms
Token 17: ' into' | Latency: 36.92ms
Token 18: ' smaller' | Latency: 36.97ms
Token 19: ' instances' | Latency: 36.83ms
Token 20: ' of' | Latency: 36.83ms
Token 21: ' the' | Latency: 36.83ms
Token 22: ' same' | Latency: 36.83ms
Token 23: ' problem' | Latency: 36.89ms
Token 24: ',' | Latency: 36.86ms
Token 25: ' calling' | Latency: 36.89ms
Token 26: ' itself' | Latency: 36.82ms
Token 27: ' with' | Latency: 36.87ms
Token 28: ' these' | Latency: 36.90ms
Token 29: ' smaller' | Latency: 36.89ms
Token 30: ' inputs' | Latency: 37.11ms
Token 31: ' until' | Latency: 36.70ms
Token 32: ' reaching' | Latency: 36.90ms
Token 33: ' a' | Latency: 36.83ms
Token 34: ' base' | Latency: 36.80ms
Token 35: ' case' | Latency: 36.83ms
Token 36: ' that' | Latency: 36.87ms
Token 37: ' stops' | Latency: 36.84ms
Token 38: ' further' | Latency: 36.85ms
Token 39: ' calls' | Latency: 36.86ms
Token 40: '.' | Latency: 36.87ms
Token 41: ' It' | Latency: 36.88ms
Token 42: ''s' | Latency: 36.86ms
Token 43: ' useful' | Latency: 36.86ms
Token 44: ' for' | Latency: 36.88ms
Token 45: ' problems' | Latency: 36.89ms
Token 46: ' divisible' | Latency: 37.16ms
Token 47: ' into' | Latency: 38.49ms
Token 48: ' similar' | Latency: 36.85ms
Token 49: ' sub' | Latency: 36.89ms
Token 50: 'problems' | Latency: 38.46ms
Token 51: ' but' | Latency: 36.68ms
Token 52: ' requires' | Latency: 36.81ms
Token 53: ' careful' | Latency: 38.48ms
Token 54: ' handling' | Latency: 36.96ms
Token 55: ' to' | Latency: 38.25ms
Token 56: ' avoid' | Latency: 38.30ms
Token 57: ' issues' | Latency: 38.50ms
Token 58: ' like' | Latency: 36.89ms
Token 59: ' stack' | Latency: 38.34ms
Token 60: ' overflow' | Latency: 36.78ms
Token 61: ',' | Latency: 36.94ms
Token 62: ' ensuring' | Latency: 36.78ms
Token 63: ' each' | Latency: 38.28ms
Token 64: ' call' | Latency: 36.83ms
Token 65: ' progresses' | Latency: 38.27ms
Token 66: ' towards' | Latency: 36.81ms
Token 67: ' the' | Latency: 38.48ms
Token 68: ' termination' | Latency: 36.95ms
Token 69: ' condition' | Latency: 40.52ms
Token 70: '.' | Latency: 37.03ms
Token 71: ' Examples' | Latency: 37.16ms
Token 72: ' include' | Latency: 38.58ms
Token 73: ' computing' | Latency: 38.71ms
Token 74: ' factor' | Latency: 37.15ms
Token 75: 'ials' | Latency: 38.69ms
Token 76: ' and' | Latency: 37.15ms
Token 77: ' travers' | Latency: 37.18ms
Token 78: 'ing' | Latency: 37.02ms
Token 79: ' tree' | Latency: 37.13ms
Token 80: ' structures' | Latency: 37.12ms
Token 81: ',' | Latency: 37.13ms
Token 82: ' where' | Latency: 37.18ms
Token 83: ' recursion' | Latency: 37.13ms
Token 84: ' simpl' | Latency: 37.35ms
Token 85: 'ifies' | Latency: 36.92ms
Token 86: ' code' | Latency: 37.12ms
Token 87: ' by' | Latency: 37.14ms
Token 88: ' naturally' | Latency: 37.36ms
Token 89: ' handling' | Latency: 37.01ms
Token 90: ' nested' | Latency: 37.20ms
Token 91: ' iterations' | Latency: 38.57ms
Token 92: '.' | Latency: 38.78ms

--- Summary ---
Total tokens: 92
TTFT: 16277.06ms
TPOT: 214.25ms
ITL Mean: 37.27ms
Throughput: 4.67 tok/s

============================================================
Request 2/5
Prompt: What are the main differences between Python and C++?
============================================================
Token 1: 'The' | Latency: 36631.57ms
Token 2: ' main' | Latency: 37.83ms
Token 3: ' differences' | Latency: 37.15ms
Token 4: ' between' | Latency: 37.14ms
Token 5: ' Python' | Latency: 37.52ms
Token 6: ' and' | Latency: 37.06ms
Token 7: ' C' | Latency: 37.14ms
Token 8: '++' | Latency: 37.65ms
Token 9: ' can' | Latency: 38.68ms
Token 10: ' be' | Latency: 37.09ms
Token 11: ' summarized' | Latency: 37.79ms
Token 12: ' as' | Latency: 37.25ms
Token 13: ' follows' | Latency: 37.19ms
Token 14: ':

' | Latency: 37.16ms
Token 15: '1' | Latency: 37.16ms
Token 16: '.' | Latency: 37.16ms
Token 17: ' **' | Latency: 37.22ms
Token 18: 'Type' | Latency: 37.80ms
Token 19: ' System' | Latency: 37.18ms
Token 20: '**' | Latency: 37.14ms
Token 21: ':
' | Latency: 38.08ms
Token 22: '  ' | Latency: 37.08ms
Token 23: ' -' | Latency: 37.15ms
Token 24: ' **' | Latency: 37.16ms
Token 25: 'Python' | Latency: 37.18ms
Token 26: '**:' | Latency: 37.26ms
Token 27: ' Dynam' | Latency: 37.83ms
Token 28: 'ically' | Latency: 37.21ms
Token 29: ' typed' | Latency: 37.17ms
Token 30: ',' | Latency: 37.11ms
Token 31: ' allowing' | Latency: 37.79ms
Token 32: ' variables' | Latency: 38.03ms
Token 33: ' to' | Latency: 37.02ms
